k,f,viab,rho,x_0,x_1,h_0
1,200.0,0.09756802083730019,10.0,0.0,0.0,0.09756802083730019
2,200.0,0.09756802083730019,100.0,0.0,0.0,0.09756802083730019
3,200.0,0.09756802083730019,1000.0,0.0,0.0,0.09756802083730019
4,200.0,0.09756802083730019,10000.0,0.0,0.0,0.09756802083730019
5,200.0,0.09756802083730019,100000.0,0.0,0.0,0.09756802083730019
6,304.20648496962946,0.07197762874941371,1000000.0,0.0,0.010525907572689843,0.07197762874941371
7,791.340246267526,0.023164282663645015,1000000.0,0.02977820614765443,0.02995313185916638,0.023164282663645015
8,992.8685949061162,0.018056540958609937,10000000.0,0.03993414526776519,0.040153591591438456,0.018056540958609937
9,1706.3165499182458,0.009670466210492655,100000000.0,0.07588803410796187,0.07626515275246701,0.009670466210492655
10,3305.413720344346,0.00402451351782227,100000000.0,0.15647380755849258,0.1572043460116434,0.00402451351782227
11,4081.5122987826794,0.0028789537265793653,1000000000.0,0.19558513764346602,0.19648681172852178,0.0028789537265793653
12,6303.8024036795105,0.0011589679315741072,1000000000.0,0.3075761487952988,0.30896954854606595,0.0011589679315741072
13,7342.756758810478,0.0007119936413965194,10000000000.0,0.3599338058348556,0.3615567758631724,0.0007119936413965194
14,9231.267637001467,0.00015718040287131295,10000000000.0,0.45510447534876447,0.4571447809140101,0.00015718040287131295
15,9727.148902024846,4.720929440147617e-05,10000000000.0,0.4800941966907964,0.48224407624100635,4.720929440147617e-05
